name,prefix,alias
Folch I Camarasa,null,Colegio
Sant Cristòfol,"CEE PÚB. ",Colegio
C.apoyo.i.sordos Rosa Relaño,null,Colegio
Tomàs Llàcer,"CEE PÚB. ",Colegio
Nuestra Señora de Las Aguas Santas,null,Colegio
Terra De Ferrol,null,Instituto
Marqués De Vallejo,null,Colegio
Esperança,null,Colegio
Ángel Rivière,null,Colegio
María Luisa Navarro Margati,null,Colegio
El Ejido,null,Instituto
Escola Viver Castell De Sant Foix,null,Colegio
Secanet,"CEE PÚB. ",Colegio
Doctor Ramón Suriñach,null,Colegio
María Mariño,null,Instituto
Can Vila,null,Colegio
Torre Monreal,null,Colegio
Pla Hortolans,"CEE PÚB. ",Colegio
Saladino Cortizo,null,Instituto
O Pino,null,Instituto
Miguel De Cervantes,"CEE PÚB. ",Colegio
Nuestra Señora De Los Volcanes,null,Colegio
Gargasindi,"CEE PÚB. ",Colegio
Casa De La Madre,null,Colegio
Pilar Soubrier,null,Colegio
Escoles Especials De La Llar De Sant Josep,null,Colegio
Gorbeialde,null,Colegio
De Sabadell,null,Instituto
CEEE Virgen De La Esperanza,null,Colegio
Comarcal Raquel Paya,"CEE PÚB. ",Colegio
